model,source_row,review_en,true_aspects,predicted_aspects,exact_match,label_error_count,false_positive_aspects,false_negative_aspects,mean_true_probability,min_true_probability,mean_predicted_probability,max_wrong_probability
MPNet retrained,260,a restaurant and location is also very good to eat a full stomach with less money,"price, miscellaneous","food, price, ambiance",False,3,"food, ambiance",miscellaneous,0.6786453847035359,0.3601197743170216,0.5282252100984951,0.34755704870858734
MPNet retrained,424,the food here tastes a little better but nothing else is quite customer friendly,"food, miscellaneous","food, service",False,2,service,miscellaneous,0.5379880529803548,0.07668148843044692,0.9916582355211004,0.9840218535119383
MPNet retrained,599,the pizza was delicious but the experience was horrible,"food, miscellaneous","food, service",False,2,service,miscellaneous,0.6393173145709885,0.27922579580026646,0.9856699555035711,0.9719310776654316
MPNet retrained,451,this restaurant is being cooked by foreign cooks and hence the price of the food is a bit high,"price, miscellaneous","food, price",False,2,food,miscellaneous,0.554710977410941,0.1109195773260351,0.8167303625124385,0.63495834752903
MPNet retrained,569,they are giving free toys to children which is good for marketing but the price of food is high and the price of toys is being collected,"price, miscellaneous","food, price",False,2,food,miscellaneous,0.5511064776422525,0.10398837764257202,0.790366444170186,0.582508310698439
MPNet retrained,593,food of normal price is very scarce here and they are not treating all the customers well,"price, service","food, price",False,2,food,service,0.6992055287982265,0.40254909837672426,0.7137520270565884,0.43164209489344796
MPNet retrained,365,food prices are lower than other nearby places but the food is very expensive,price,"price, miscellaneous",False,1,miscellaneous,None,0.9973575284709163,0.9973575284709163,0.9593762977028647,0.9213950669348131
MPNet retrained,76,the restaurant is small but expensive,"price, ambiance","price, ambiance, miscellaneous",False,1,miscellaneous,None,0.974335313782633,0.9646837003863697,0.9546032139006989,0.9151390141368303
MPNet retrained,637,there is no shortage of shops but i cannot find good food,"food, miscellaneous","food, ambiance, miscellaneous",False,1,ambiance,None,0.8549905226166584,0.7118209405589918,0.8495811031819117,0.8387622643124185
MPNet retrained,109,the location of the restaurant is good and the price of the food is also low,"price, miscellaneous","price, ambiance, miscellaneous",False,1,ambiance,None,0.9818830703510626,0.9818615579695718,0.8709620392481717,0.6491199770423899
MPNet retrained,31,as for the beef the test was very good but the name kalabuna was not right,food,"food, miscellaneous",False,1,miscellaneous,None,0.9999204846904693,0.9999204846904693,0.7857072813439384,0.5714940779974075
MPNet retrained,479,ordering lower priced items made the waiters experience worse and most of the food seemed overpriced,"price, service","food, price, service",False,1,food,None,0.9121618792079502,0.8375735789703926,0.7565772840766881,0.4454080938141639
MPNet retrained,412,it is hard to find eggs in egg chop and everything is rotten,food,"food, ambiance",False,1,ambiance,None,0.9999133861684675,0.9999133861684675,0.6509112563110803,0.30190912645369306
MPNet retrained,360,some fake restaurants and food prices are higher than the original places,"price, miscellaneous","food, price, miscellaneous",False,1,food,None,0.8817503296055538,0.7650247407226995,0.6855615911959574,0.29318411437676467
MPNet retrained,254,the decoration was very different and the atmosphere was very lively,ambiance,"food, ambiance",False,1,food,None,0.9997366464771913,0.9997366464771913,0.601562723536375,0.2033888005955587
